,ten_san_pham,thanh_phan_hoat_chat,dang_bao_che,dang_dong_goi,khoi_luong_the_tich,cong_dung,han_dung,so_dang_ky
998,Iodine. Complex,Povidone iodine,Dung dịch sát trùng,"ỐNg, Chai, Lọ, Can","5, 10, 20, 50,
100, 250, 500
ml, 1, 2, 5, 10,
20 l","Diệt vi khuẩn, nấm và động vật nguyên sinh trong nước",24 tháng,CT.TS2-12
999,BKC 80%,Benzalkonium chloride,Dung dịch sát trùng,"ỐNg, Chai, Lọ, Can","5, 10, 20, 50,
100, 250, 500
ml, 1, 2, 5, 10,
20 l","Sát trùng nước, cải thiện môi trường nuôi tôm, cá",24 tháng,CT.TS2-13
1000,BKC,Benzalkonium chloride,Dung dịch sát trùng,"ỐNg, Chai, Lọ, Can","5, 10, 20, 50,
100, 250, 500
ml, 1, 2, 5, 10,
20 l","Sát trùng nước, cải thiện môi trường nuôi tôm, cá",24 tháng,CT.TS2-14
1001,Doxy 20%,Doxycycline hyclate,Thuốc bột,"Gói, Hộp, Xô, Bao","2, 5, 10, 20,
50, 100, 200,
500 g; 1, 2, 5,
10, 12, 15, 20,
25 kg","Trị bệnh đỏ thân trên tôm hùm gây ra
bởi vi khuẩn Vibrio alginolyticus. Ngưng sử dụng 4 tuần trước thu hoạch",24 tháng,CT.TS2-15
1002,Bactrim fort,"Sulfadiazine sodium, Trimethoprim",Thuốc bột,"Gói, Hộp, Xô, Bao","2, 5, 10, 20,
50, 100, 200,
500 g; 1, 2, 5,
10, 12, 15, 20,
25 kg","Trị các bệnh phát sáng do vi khuẩn Vibrio trên tôm. Trị các bệnh nhiễm khuẩn do Aeromonas, Pseudomonas (đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá nuôi nước ngọt. Ngừng sử dụng 4 tuần trước thu hoạch.",24 tháng,CT.TS2-16
1003,Bronopol,"2-bromo-2- nitropropane-1,3- diol",Dung dịch,"ỐNg, Chai, Lọ, Can","5, 10, 20, 50,
100, 250, 500
ml, 1, 2, 5, 10,
20 l","Phòng và điều trị cá nuôi bị nhiễm nấm thủy mi (Saprolegnia spp), trùng quả dưa (Ichthyophthyrius spp) đặc biệt ở giai đoạn cá hương và cá giống",24 tháng,CT.TS2-17
1004,Sổ lãi cá,Praziquantel,Thuốc bột,"Gói, Hộp, Xô, Bao","2, 5, 10, 20,
50, 100, 200,
500 g; 1, 2, 5,
10, 12, 15, 20,
25 kg","Trị nội, ngoại ký sinh trùng trên cá như sán lá đơn chủ, rận cá, sán lá gan, sán dây",24 tháng,CT.TS2-18
1005,Betasol,"Beta-glucan, Inositol, Sorbitol",Thuốc bột,"Gói, Hộp, Xô, Bao","2, 5, 10, 20,
50, 100, 200,
500 g; 1, 2, 5,
10, 12, 15, 20,
25 kg","Bổ gan, giải độc gan. Tăng cường chuyển hóa và hấp thu chất dinh dưỡng trên cá, tôm",24 tháng,CT.TS2-19
1006,Oxytetracyclin 50%,Oxytetracycline HCl,Thuốc bột,"Gói, Hộp, Xô, Bao","2, 5, 10, 20,
50, 100, 200,
500 g; 1, 2, 5,
10, 12, 15, 20,
25 kg","Trị bệnh phát sáng do vi khuẩn Vibrio trên tôm. Trị các bệnh nhiễm khuẩn do Aeromonas, Pseudomonas, Edwardsiella (đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên da nuôi cá nuôi nước ngọt. Ngừng sử dụng 4 tuần trước thu hoạch.",24 tháng,CT.TS2-2
1007,Levasol,Levamisole HCl,Thuốc bột,"Gói, Hộp, Xô, Bao","2, 5, 10, 20,
50, 100, 200,
500 g; 1, 2, 5,
10, 12, 15, 20,
25 kg","Phòng và trị giun, sán kí sinh ở cá",24 tháng,CT.TS2-20
1008,Liverin,"Betaine HCl, Choline chloride, DL-Methionine, L- Lysine HCl, Riboflavin 5' phosphate sodium (vitamin B2), Sorbitol, Vitamin B12",Dung dịch,"ỐNg, Chai, Lọ, Can","5, 10, 20, 50,
100, 250, 500
ml, 1, 2, 5, 10,
20 l","Tăng cường chức năng gan, tăng khả năng hấp thu các chất dinh dưỡng trên cá",24 tháng,CT.TS2-22
1009,Butaurin,"Butaphosphan, DL-Methionine, L- Taurine, Nicotinamide, Vitamin B12",Dung dịch,"ỐNg, Chai, Lọ, Can","5, 10, 20, 50,
100, 250, 500
ml, 1, 2, 5, 10,
20 l","Tăng chuyển hóa và hấp thu dinh dưỡng cho tôm, cá",24 tháng,CT.TS2-24
1010,Iodine 200,Povidone iodine,Dung dịch sát trùng,"ỐNg, Chai, Lọ, Can","5, 10, 20, 50,
100, 250, 500
ml, 1, 2, 5, 10,
20 l","Diệt khuẩn, nguyên sinh động vật trong nước ao nuôi, sát trùng nguồn nước và dụng cụ ao nuôi",24 tháng,CT.TS2-25
1011,Protector,"Alkyl benzyl dimethyl ammonium chloride, Glutaraldehyde",Dung dịch sát trùng,"ỐNg, Chai, Lọ, Can","5, 10, 20, 50,
100, 250, 500
ml, 1, 2, 5, 10,
20 l","Diệt khuẩn, nguyên sinh động vật trong nước ao nuôi, sát trùng nguồn nước và dụng cụ ao nuôi",24 tháng,CT.TS2-26
1012,Biolac,"Bacillus subtilis, Lactobacillus acidophilus, Saccharomyces cerevisiae",Thuốc bột,"Gói, Hộp, Xô, Bao","2, 5, 10, 20,
50, 100, 200,
500 g; 1, 2, 5,
10, 12, 15, 20,
25 kg","Nâng cao sức đề kháng giúp tiêu hóa tốt thức ăn trên cá, tôm",24 tháng,CT.TS2-3
1013,Cacium-C,"Calcium gluconate, Vitamin C",Thuốc bột,"Gói, Hộp, Xô, Bao","2, 5, 10, 20,
50, 100, 200,
500 g; 1, 2, 5,
10, 12, 15, 20,
25 kg","Nâng cao sức đề kháng. Tăng khả năng chịu đựng stress trên cá, tôm",24 tháng,CT.TS2-4
1014,Vitec,"Vitamin C, Vitamin E",Thuốc bột,"Gói, Hộp, Xô, Bao","2, 5, 10, 20,
50, 100, 200,
500 g; 1, 2, 5,
10, 12, 15, 20,
25 kg","Nâng cao sức đề kháng, tăng khả năng chịu đựng stress trên tôm",24 tháng,CT.TS2-5
1015,ADE,"Vitamin A, Vitamin D3, Vitamin E",Thuốc bột,"Gói, Hộp, Xô, Bao","2, 5, 10, 20,
50, 100, 200,
500 g; 1, 2, 5,
10, 12, 15, 20,
25 kg","Tăng cường sức đề kháng, giảm stress, rút ngắn thời gian lột vỏ ở tôm",24 tháng,CT.TS2-6
1016,C.Mix for shrimp,Acid ascorbic,Thuốc bột,"Gói, Hộp, Xô, Bao","2, 5, 10, 20,
50, 100, 200,
500 g; 1, 2, 5,
10, 12, 15, 20,
25 kg","Tăng cường sức đề kháng, giảm stress trên tôm",24 tháng,CT.TS2-7
1017,C.Mix for fish,Acid ascorbic,Thuốc bột,"Gói, Hộp, Xô, Bao","2, 5, 10, 20,
50, 100, 200,
500 g; 1, 2, 5,
10, 12, 15, 20,
25 kg","Tăng cường sức đề kháng, giảm stress trên cá",24 tháng,CT.TS2-8
1018,Vitamin C-TẠT,"Acid citric, DL- Methionine, Vitamin C, Vitamin E",Thuốc bột,"Gói, Hộp, Xô, Bao","2, 5, 10, 20,
50, 100, 200,
500 g; 1, 2, 5,
10, 12, 15, 20,
25 kg","Tăng cường sức đề kháng, phòng chống stress cho tôm, cá khi thời tiết quá lạnh hay
quá nóng, do vận chuyển hay môi trường nước nhiễm bẩn",24 tháng,CT.TS2-9
1019,SUROMET,"Ormethoprim, Sulfadimethoxine",Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g, 1, 2, 5,
10, 20, 25kg","Trị nhiễm khuẩn Pseudomonas sp, Aeromonas sp, Edwardsiella ictaluri trên cá",24 tháng,HN.TS10-1
1020,FLORFENICOL 30%,Florfenicol,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g, 1, 2, 5,
10, 20, 25kg",Điều trị bệnh xuất huyết đường ruột do vi khuẩn Edwardsiella ictaluri gây ra trên cá da trơn,24 tháng,HN.TS10-2
1021,C.T-NĂM THÁI,"Sulfadiazine, Trimethoprim",Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g, 1, 2, 5,
10, 20, 25kg","Trị các bệnh phát sáng do vi khuẩn Vibrio trên tôm, trị các bệnh nhiễm khuẩn do Aeromonas, Pseudomonas (đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá nước ngọt.",24 tháng,HN.TS10-3
1022,METABO-NT,"Acid ascorbic, Butafosfan, Cyanocobalamin",Dung dịch,"Chai, Lọ","5, 10, 20, 50,
100, 200,
500ml, 1, 2, 5,
10 lít","Chống stress, tăng sức đề kháng, tăng khả năng chuyển hóa các chất dinh dưỡng trong thức ăn cho tôm cá",24 tháng,HN.TS10-5
1023,DIMIVET,"Sulfadimidine, Trimethoprim",Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g, 1, 2, 5,
10, 20, 25kg","Trị bệnh nhiễm khuẩn do vi khuẩn Aeromonas, Pseudomonas (đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá nuôi nước ngọt",24 tháng,HN.TS10-6
1024,HEPATONIC,"Choline Chloride, DL-Methionine, L- Carnitine, MgSO4, Sorbitol",Dung dịch,"Chai, Lọ","5, 10, 20, 50,
100, 200,
500ml, 1, 2, 5,
10 lít","Phòng ngừa suy giảm chức năng gan, hỗ trợ trong hoặc sau điều trị bằng kháng sinh trên tôm, cá",24 tháng,HN.TS10-7
1025,AQUA-NT,Bronopol,Dung dịch,"Chai, Lọ","5, 10, 20, 50,
100, 200,
500ml, 1, 2, 5,
10 lít","Trị bệnh do nấm (sapolegnia sp, Aphanomyces sp, Achlya sp) gây ra trên tôm, cá và trứng cá",24 tháng,HN.TS10-8
1026,PARATIC-NT,Praziquantel,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g, 1, 2, 5,
10, 20, 25kg","Trị nội ngoại ký sinh trùng trên cá như sán lá đơn chủ, rận, sán lá gan, sán dây",24 tháng,HN.TS10-9
1027,DOXYCIN 71,"Oxytetracyline, Vitamin C",Thuốc bột trộn thức ăn,Gói,"5g, 10g, 30g,
50g, 100g,
250g, 500g;
1kg, 5kg, 10kg, 25kg","Trị các bệnh nhiễm khuẩn với các biểu hiện đốm đỏ, xuất huyết, hoại tử trên cá tra, cá basa do vi khuẩn Aeromonas sp., Pseudomonas fluorescens, Edwardsiella tarda gây ra. Trị các bệnh phát sáng trên ấu trùng tôm do Vibrio gây ra. Ngừng sử dụng 4 tuần trước khi thu hoạch",24 tháng,"HCM.TS31
-1"
1028,PHENCOCIN 517,Florfenicol,Thuốc bột trộn thức ăn,"Gói, Bao, Xô","5g, 10g, 30g,
50g, 100g,
250g, 500g;
1kg, 2kg, 4kg, 5kg, 10kg, 25kg","Trị xuất huyết, hoại tử gan, thận (gan, thận có mủ tạo các đốm trắng) gây ra bởi vi khuẩn Edwardsiella ictaluri trên cá. Ngừng sử dụng 12 ngày",24 tháng,"HCM.TS31
-10"
1029,HEPAZYME-B12,"Amylase, Cholin chloride, Lysine, Methionine, Protease, Sacharomyces boulardii, Vitamin B1, Vitamin B2, Vitamin B5, Vitamin PP",Thuốc bột trộn thức ăn,"Lon, Bao, Xô","5g, 10g, 30g,
50g, 100g,
250g, 500g,
1kg, 2kg, 4kg, 5kg, 10kg, 25kg","Cung cấp men tiêu hóa, vitamin, acid amin trên tôm, cá",24 tháng,"HCM.TS31
-11"
1030,BELUDINE,Povidone Iodine,Dung dịch sát trùng,Chai,"100ml, 250ml, 500ml, 1lít, 2lít, 4lít, 5lít, 10lít","Khử trùng nguồn nước, diệt khuẩn, nấm, động vật nguyên sinh trong môi trường nước",24 tháng,"HCM.TS31
-14"
1031,B.K.C 80%,Benzalkonium chloride,Dung dịch sát trùng,Can,"100ml, 250ml, 500ml; 1lít, 2lít, 4lít, 5lít, 10lít",Sát trùng nguồn nước nuôi và ao lắng,24 tháng,"HCM.TS31
-15"
1032,GAVADINE,Povidone Iodine,Dung dịch sát trùng,Chai,"100ml, 250ml, 500ml; 1lít, 2lít, 4lít, 5lít, 10lít","Khử trùng nguồn nước, diệt khuẩn, nấm, động vật nguyên sinh trong môi trường nước",24 tháng,"HCM.TS31
-16"
1033,VITAMIN C,"Citric acid, Vitamin C",Thuốc bột trộn thức ăn,"Gói, Hộp, Bao, Xô","1kg, 2kg, 5kg, 10kg","Tăng sức đề kháng, chống stress, tăng sức sống cho tôm, cải thiện hiệu quả sử dụng thức ăn",24 tháng,"HCM.TS31
-2"
1034,BUTAVIT- B12,"1-(n butylamino)- 1-methylethyl phosphonic acid, Cyanocobalamin, Methylhydroxyben zoat",Dung dịch trộn thức ăn,"Chai, Lọ, Can","5ml, 10ml, 20ml, 50ml, 100ml, 250ml, 500ml, 1lít, 2lít, 4lít, 5lít, 10lít, 20lít","Tăng cường trao đổi chất, giúp tôm mau lớn",24 tháng,"HCM.TS31
-20"
1035,DOMYCIN 717,Doxycyline base,Thuốc bột trộn thức ăn,"Gói, Bao, Lon, Xô","5g, 10g, 30g,
50g, 100g,
250g, 500g,
1kg, 2kg, 4kg, 5kg, 10kg, 25kg",Điều trị bệnh đỏ thân trên tôm gây ra bởi vi khuẩn vibrio alginolyticus. Ngừng sử dụng 4 tuần trước thu hoạch,24 tháng,"HCM.TS31
-21"
1036,BOGATO B12,"Betaine, Choline Chloride, Lysine HCl, Methionine, Sorbitol, Vitamin B12",Dung dịch trộn thức ăn,"Chai, Can","2ml, 5ml, 6ml, 10ml, 20ml, 50ml, 100ml, 250ml, 500ml, 1lít, 4lít, 5lít, 10lít, 20lít",Cung cấp dinh dưỡng cho tôm giúp tiêu hóa tốt,24 tháng,"HCM.TS31
-22"
1037,GAVA 125,Erythromycine,"thuốc bột trộn thức
ăn","Túi, Bao","1g, 3g, 5g, 10g, 20g, 30g,
50g, 100g,
200g, 250g,
500g, 1kg, 2kg, 5kg, 10kg, 15kg, 25kg","Trị xuất huyết, gan thận mủ do vi khuẩn Edwardsiella ictaluri trên cá tra",24 tháng,"HCM.TS31
-24"
1038,SUPER VIKOTAT,"Calcium, Phosphorus, Vitamin A, Vitamin D3, Vitamin E",Thuốc bột trộn thức ăn,"Gói, Bao","5g,10g, 30g,
50g, 100g,
250g, 500g;
1kg, 2kg, 10kg, 25kg","Cung cấp vitamin, Calcium, phosphorus, kích thích tôm lột vỏ nhanh",24 tháng,"HCM.TS31
-3"
1039,SUPER FLOR,Florfenicol,Dung dịch trộn thức ăn,"Chai, Can","2ml, 5ml, 6ml, 10ml, 20ml, 50ml, 100ml, 200ml,
250ml, 500ml; 1lít, 2lít, 4lít, 5lít, 25lít","Trị bệnh nhiễm trùng huyết đường ruột do vi khuẩn Edwardsiella ictaluri trên cá tra, basa. Ngừng sử dụng 12 ngày trước khi thu hoạch",24 tháng,"HCM.TS31
-5"
1040,DACTYCIDE 94,Praziquantel,Thuốc bột trộn thức ăn,"Gói, Hộp","5g, 10g, 30g,
50g, 100g,
250g, 500g;
1kg, 2kg, 4kg, 5kg, 10kg, 25kg","Trị ngoại kí sinh trùng: sán đơn chủ rận cá. Trị nội ký sinh trùng: sán lá gan, sán dây trên cá",24 tháng,"HCM.TS31
-6"
1041,GAVA DIMIDIN,"Sulfadimidin, Trimethoprime","thuốc bột trộn thức
ăn","Gói, Bao, Xô","5g, 10g, 30g,
50g, 100g,
250g, 500g;
1kg, 2kg, 4kg, 5kg, 10kg, 25kg","Trị các bệnh nhiễm khuẩn do Aeromonas, Pseudomonas (đốm đỏ, hậu môn sưng đỏ xuất huyết) gây ra trên cá nuôi nước ngọt. Ngừng sử dụng 4 tuần trước khi thu hoạch",24 tháng,"HCM.TS31
-9"
1042,Sulftrim - F,"Sulfadimidine sodium, Trimethoprime",Thuốc bột uống,"Gói, Bao","10, 50, 100,
250, 500g, 1,
2, 5, 10, 15,
20, 25kg","Trị bệnh phát sáng do vi khuẩn Vibrio trên tôm. Trị nhiễm khuẩn do Aeromonas, Pseudomonas ( đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá nước ngọt",24 tháng,DN.TS7-1
1043,BKC 50% FOR FISH,Benzalkonium chloride,Dung dịch dùng ngoài,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1, 2, 5,
10, 20, 25 lít","Diệt khuẩn, nấm và nguyên sinh động vật trong nước ao nuôi thủy sản",24 tháng,DN.TS7-10
1044,DONACIDE FOR FISH,"Benzalkonium chloride, Glutaraldehyde",Dung dịch dùng ngoài,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1, 2, 5,
10, 20, 25 lít","Sát trùng, diệt khuẩn, nấm và nguyên sinh động vật trong nước ao nuôi",24 tháng,DN.TS7-11
1045,DOVIDINE FOR FISH,Povidone Iodine,Dung dịch dùng ngoài,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1, 2, 5,
10, 20, 25 lít","Diệt khuẩn, nguyên sinh động vật trong ao nuôi, sát trùng dụng cụ trong ao nuôi tâm, cá.",24 tháng,DN.TS7-12
1046,Florfenicol - F10,Florfenicol,Thuốc bột uống,"Gói, Bao","10, 50, 100,
250, 500g, 1,
2, 5, 10, 15,
20, 25kg","Trị bệnh xuất huyết đường ruột trên cá tra, ba sa do vi khuẩn Edwardsiella ictaluri gây ra.",24 tháng,DN.TS7-2
1047,Oxytetra - F20,Oxytetracycllin,Thuốc bột uống,"Gói, Bao","10, 50, 100,
250, 500g, 1,
2, 5, 10, 15,
20, 25kg","Trị bệnh phát sáng do vi khuẩn Vibrio trên tôm. Trị nhiễm khuẩn do Aeromonas, Pseudomonas, Edwardsiella trên cá nước ngọt",24 tháng,DN.TS7-3
1048,Flor - F20,Florfenicol,Thuốc bột uống,"Gói, Bao","10, 50, 100,
250, 500g, 1,
2, 5, 10, 15,
20, 25kg","Trị bệnh xuất huyết đường ruột trên cá tra, ba sa do vi khuẩn Edwardsiella ictaluri gây ra.",24 tháng,DN.TS7-4
1049,Flor - F40,Florfenicol,Thuốc bột uống,"Gói, Bao","10, 50, 100,
250, 500g, 1,
2, 5, 10, 15,
20, 25kg","Trị bệnh xuất huyết đường ruột trên cá tra, ba sa do vi khuẩn Edwardsiella ictaluri gây ra.",24 tháng,DN.TS7-5
1050,Sulfatrim - F,"Sulfadimidine sodium, Trimethoprime",Dung dịch uống,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1, 2, 5,
10, 20, 25 lít","Trị bệnh phát sáng do vi khuẩn Vibrio trên tôm. Trị nhiễm khuẩn do Aeromonas, Pseudomonas ( đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá nước ngọt",24 tháng,DN.TS7-6
1051,Dona - Flor - F10,Florfenicol,Dung dịch uống,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1, 2, 5,
10, 20, 25 lít","Trị bệnh xuất huyết đường ruột trên cá tra, ba sa do vi khuẩn Edwardsiella ictaluri gây ra.",24 tháng,DN.TS7-7
1052,Dona - Flor - F20,Florfenicol,Dung dịch uống,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1, 2, 5,
10, 20, 25 lít","Trị bệnh xuất huyết đường ruột trên cá tra, ba sa do vi khuẩn Edwardsiella ictaluri gây ra.",24 tháng,DN.TS7-8
1053,Dona - Flor - F40,Florfenicol,Dung dịch uống,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1, 2, 5,
10, 20, 25 lít","Trị bệnh xuất huyết đường ruột trên cá tra, ba sa do vi khuẩn Edwardsiella ictaluri gây ra.",24 tháng,DN.TS7-9
1054,FLORCOL,Florphenicol,Thuốc bột trộn thức ăn,"Gói, Hộp, Xô, Bao","100, 50, 200,
500g; 1, 5, 10,
25kg","Trị nhiễm trùng huyết đường ruột trên cá Tra, Basa do vi khuẩn Edwardsiella ictaluri gây ra. Ngừng sử dụng 12 ngày trước thu hoạch.",24 tháng,"HCM.TS34
-1"
1055,AQUA - BENKO,Benzalkonium chloride,Dung dịch dùng ngoài,"Chai, Can","5, 10, 20, 50,
100, 250,
500ml; 1, 2, 5,
10, 20lít","Khử trùng nguồn nước, sát trùng bể ương và vệ sinh dụng cụ nuôi trồng thủy sản",24 tháng,"HCM.TS34
-10"
1056,AQUA - DINE,Povidone iodine,Dung dịch dùng ngoài,"Chai, Can","5, 10, 20, 50,
100, 250,
500ml; 1, 2, 5,
10, 20lít","Khử trùng nguồn nước, cải thiện môi trường nước nuôi. Sát trùng bể ương và vệ sinh dụng cụ nuôi trồng thủy sản.",24 tháng,"HCM.TS34
-11"
1057,EXTRA - DINE,Povidone iodine,Dung dịch dùng ngoài,"Chai, Can","5, 10, 20, 50,
100, 250,
500ml; 1, 2, 5,
10, 20lít","Khử trùng nguồn nước, cải thiện môi trường nước nuôi. Sát trùng bể ương và vệ sinh dụng cụ nuôi trồng thủy sản.",24 tháng,"HCM.TS34
-12"
1058,NAKOCID,"Alkyl Dimethyl Benzyl Amonium Chloride, Glutaraldehyde",Dung dịch dùng ngoài,"Chai, Can","5, 10, 20, 50,
100, 250,
500ml; 1, 2, 5,
10, 20lít","Diệt các loại vi khuẩn, nấm, nguyên sinh động vật  trong nước  ao nuôi.
Sát  trùng dụng cụ dùng trong nuôi trồng thủy sản.",24 tháng,"HCM.TS34
-14"
1059,OXYSOL,Oxytetracycline HCl,Thuốc bột uống,"Gói, Hộp","5, 10, 20, 50,
100, 250,
500g; 1, 2, 5,
10, 25 kg","Trị đốm đỏ, xuất huyết trên thân, hậu môn sưng đỏ, rách vây do vi khuẩn Aeromonas hydrophila,  Pseudomonas fluorescens trên cá tra, basa; trị bệnh do vi khuẩn Vibrio gây ra trên tôm",24 tháng,"HCM.TS34
-17"
1060,FLODOX,Florphenicol,Thuốc bột uống,"Gói, Hộp","5, 10, 20, 50,
100, 250,
500g; 1, 2, 5,
10, 25 kg","Trị nhiễm trùng đường ruột do vi khuẩn Edwardsiella gây ra trên cá da trơn (cá tra, cá basa)",24 tháng,"HCM.TS34
-18"
1061,AQUA - FEN,Florphenicol,Dung dịch uống,"Chai, Can","5, 10, 20, 50,
100, 250,
500ml; 1, 2, 5,
10, 20lít","Trị nhiễm trùng đường ruột do vi khuẩn Edwardsiella gây ra trên cá da trơn (cá tra, cá basa)",24 tháng,"HCM.TS34
-19"
1062,FERZYM 20 FOR  FISH,"Choline chloride, Enzyme a- Amylase, Enzyme Protease, Lysine, Methionine, Saccharomycess boulardii, Vitamin B1, Vitamin B2, Vitamin B5, Vitamin PP",Thuốc bột trộn thức ăn,"Gói, Hộp, Xô, Bao","100, 50, 200,
500g; 1, 5, 10,
25kg","Cung cấp men tiêu hóa, vitamin và các acid amin kích thích tiêu hóa và hấp thụ tốt thức ăn trên cá",24 tháng,"HCM.TS34
-2"
1063,DOXYFEN,Doxycycline,Thuốc bột uống,"Gói, Hộp","5, 10, 20, 50,
100, 250,
500g; 1, 2, 5,
10, 25 kg",Trị bệnh đỏ thân do vi khuẩn Vibrio alginolyticus trên tôm hùm.,24 tháng,"HCM.TS34
-20"
1064,NABUSAL,"1-(Butylamino)-1- methylethyl]- phosphonic acid, Vitamin B12",Dung dịch uống,"Chai, Can","5, 10, 20, 50,
100, 250,
500ml; 1, 2, 5,
10, 20lít","Bổ sung vitamin B12, tăng cường trao đổi chất, hỗ trợ quá trình sinh trưởng trên tôm, cá.",24 tháng,"HCM.TS34
-21"
1065,"NP - BITOLMIN
+ B12","Lysine, Methionine, Sorbitol, Vitamin B12",Thuốc bột uống,"Gói, Hộp","5, 10, 20, 50,
100, 250,
500g; 1, 2, 5,
10, 25 kg","Bổ sung vitamin B12, tăng cường trao đổi chất, hỗ trợ quá trình sinh trưởng trên tôm, cá",24 tháng,"HCM.TS34
-22"
1066,HEPAIN,"Betain, Lysine, Methionine, Sorbitol",Dung dịch uống,"Chai, Can","5, 10, 20, 50,
100, 250,
500ml; 1, 2, 5,
10, 20lít","Tăng khả năng hấp thu các chất dinh dưỡng, kích thích thèm ăn, tăng hiệu quả sử dụng thức ăn.",24 tháng,"HCM.TS34
-23"
1067,NP - VITAM - AQUA,"Acid Folic, Biotin, KCl, NaCl, NaHCO3, Vitamin A, Vitamin B1, Vitamin B12, Vitamin B2, Vitamin B5, Vitamin B6, Vitamin C, Vitamin D3, Vitamin E, Vitamin K3, Vitamin PP",Thuốc bột uống,"Gói, Hộp","5, 10, 20, 50,
100, 250,
500g; 1, 2, 5,
10, 25 kg","Bổ sung vitamin, tăng sức đề kháng, chống stress do môi trường thay đổi. trên tôm, cá",24 tháng,"HCM.TS34
-24"
1068,GLUCAN - FS,"Beta 1,3-1,6
Glucan, Mannan Oligo Saccharides",Thuốc bột uống,"Gói, Hộp","5, 10, 20, 50,
100, 250,
500g; 1, 2, 5,
10, 25 kg","Tăng sức đề kháng, chống stress trên tôm, cá",24 tháng,"HCM.TS34
-25"
1069,NAZATIN,Hoạt chất chiết từ cây xoan (Azadirachtin),Dung dịch,"Chai, Can","5, 10, 20, 50,
100, 250,
500ml; 1, 2, 5,
10, 20lít","Trị trùng mỏ neo, rận cá, sán lá đơn chủ trên cá Tra, cá Basa",24 tháng,"HCM.TS34
-26"
1070,LACTOBAC,"Bacillus subtilis, Lactobacillus acidophilus, Saccharomyces cerevisiae",Thuốc bột uống,"Gói, Hộp","5, 10, 20, 50,
100, 250,
500g; 1, 2, 5,
10, 25 kg","Bổ sung men vi sinh, ngăn ngừa bệnh đường ruột trên tôm, cá",24 tháng,"HCM.TS34
-27"
1071,Sanisol C80 (BKC80),Benzalkonium chloride,Dung dịch dùng ngoài,"Chai, Can","5, 10, 20, 50,
100, 250,
500ml; 1, 2, 5,
10, 20lít","Diệt vi khuẩn, nấm, nguyên sinh động vật trong nước ao nuôi tôm cá. Sát trùng dụng cụ nuôi, bể ương",24 tháng,"HCM.TS34
-28"
1072,PVD-Iodine,Povidone iodine,Dung dịch sát trùng,"Chai, Can","5, 10, 20, 50,
250, 500ml; 1,
2, 5, 10, 20lít","Khử trùng nguồn nước nuôi, sát trùng dụng cụ nuôi, bể ương",24 tháng,"HCM.TS34
-29"
1073,Aqualin,Oxytetracycline,Thuốc bột trộn thức ăn,"Gói, Hộp, Xô, Bao","100, 50, 200,
500g; 1, 5, 10,
25kg","Trị bệnh đốm đỏ, xuất huyết trên thân, hậu môn sưng đỏ của cá tra, cá basa do vi khuẩn Aeromonas hydrophyla và Pseudomonas flourescens. Trị bệnh do vi khuẩn Vibrio gây ra trên tôm. Ngừng sử dụng 4 tuần trước thu hoạch.",24 tháng,"HCM.TS34
-3"
1074,Aquazym,"Bacillus subtilis, Lactobacillus acidophilus , Protease, Saccharomyces cerevisiae , α- Amylase",Thuốc bột uống,"Gói, Hộp","5, 10, 20, 50,
100, 250,
500g; 1, 2, 5,
10, 25 kg","Bổ sung enzyme và vi sinh vật có lợi kích thích tiêu hóa, ngăn ngừa bệnh đường ruột trên tôm, cá",24 tháng,"HCM.TS34
-30"
1075,Napha-calcium,"Choline, CuSO4, FeSO4 , Lysine, Methionine, MnSO4 , Sorbitol, Vitamin A, Vitamin B1, Vitamin B2, Vitamin B6, Vitamin C, Vitamin D, Vitamin E, Vitamin K3, Vitamin PP, ZnSO4",Thuốc bột uống,"Gói, Hộp","5, 10, 20, 50,
100, 250,
500g; 1, 2, 5,
10, 25 kg","Bổ sung vitamin, acid amin, khoáng chất, tăng sức đề kháng, giảm stress, kích thích tiêu hoá trên tôm, cá",24 tháng,"HCM.TS34
-31"
