,Application_Number,Trade_Name,Sponsor_Name,Expiration,Patent,Action,Date,Date_Withdrawn,Description,Ingredients,Number,Petitioner,Sponsor_When_Withdrawn,Address,City,CountryProvince,License_No.,Site_Name,State,Zip_Code
759,140-854,"Synanthic® Bovine Dewormer Suspension 22.5%, Synanthic® Bovine Dewormer Suspension 9.06%",Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,5450 East Channel Rd,Catoosa,United States,500-086,Westway Feed Products LLC,OK,74015
760,140-856,P.G. 600®,"Intervet, Inc.",,,,,,,,,,,385 North Hwy ,Dimmitt,United States,500-587,Westway Feed Products LLC,TX,79027
761,140-857,Equestrolin™,"Virbac AH, Inc.",,,,,,,,,,, 3588 County Road H,Herefod,United States,501-100,Westway Feed Products LLC,TX,79045
762,140-859,Bio-Cox®/Aureomycin®,Phibro Animal Health Corp.,,,,,,,,,,,300 93rd Street,Houston,United States,500-586,Westway Feed Products LLC,TX,77012
763,140-862,Dormosedan™,Orion Corp.,,,,,,,,,,,206 N League Street,Sulphur Springs,United States,500-585,Westway Feed Products LLC,TX,75482
764,140-863,"Paylean® 45, Paylean® 9",Elanco US Inc.,,,,,,,,,,,River Grain Terminal Rd./Port of Walla Walla,Burbank,United States,501-297,Westway Feed Products LLC,WA,99323
765,140-865,"Baciferm® / Albac®, Baciferm® / Monteban®",Phibro Animal Health Corp.,,,,,,,,,,,1002 SW Spokane Street,Seattle,United States,501-099,Westway Feed Products LLC,WA,98134
766,140-866,Yobine® Injection,Cronus Pharma Specialities India Private Limited,,,,,,,,,,,419 W High Street,Elizabethtown,United States,500-193,White Oak Mills,PA,17022
767,140-872,Posilac™,"Union Agener, Inc.",,,,,,,,,,,106 5th Street,Whittemore,United States,501-685,Whittemore Feeders Supply Inc,IA,50598
768,140-874,Antagonil,"Wildlife Laboratories, Inc.",,,,,,,,,,,115 13th Avenue South,Buhl,United States,500-301,Wilber-Ellis Nutrition,ID,83316
769,140-879,Derma 4 Ointment,Zoetis Inc.,,,,,,,,,,,3939 West 1st Avenue,Willmar,United States,500-699,Willmar Poultry Farms dba Farm Service Elevator,MN,56201
770,140-883,"Legend® Injectable Solution, Legend® Multi Dose",Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,3611 Old Oakwood Road,Oakwood,United States,500-695,"Wincorp Properties, Inc. d/b/a Crystal Feeds",GA,30566
771,140-886,Heartgard® Chewables For Dogs,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,"7 mi S on US 83, 4 mi E FM on 2711",Perryton,United States,501-272,Wolf Creek Feedyard,TX,79070
772,140-890,"Excenel Sterile Suspension, Excenel® RTU, Excenel® Sterile Powder",Zoetis Inc.,,,,,,,,,,,10 miles N of Tulia,Tulia,United States,500-923,Wrangler Feedyard,TX,79088
773,140-892,"Synanthic® Bovine Dewormer Paste, 18.5%",Zoetis Inc.,,,,,,,,,,,260726 E 800 Road,Wantonga,United States,500-898,"Xcel Feedyard, LLC",OK,73772
774,140-893,Cestex®,Zoetis Inc.,,,,,,,,,,,211 Pedigo Drive,Pratt,United States,500-322,Xtra Factors,KS,67124
775,140-896,Otomax®,"Intervet, Inc.",,,,,,,,,,,851 Ferdig St. ,Yankton,United States,500-451,"Yaggies, Inc.",SD,57078
776,140-897,"Revalor®-G, Revalor®-IS, Revalor®-S","Intervet, Inc.",,,,,,,,,,,47 Rocky Creek Rd.,Andrews,United States,501-658,"Zeigler Bros., Inc.",NC,28901
777,140-901,"Adequan® i.m., Adequan® i.m. Multi-Dose","American Regent, Inc.",,,,,,,,,,,1650 Avenue R,Sterling,United States,501-564,Zimm's Feedlot,KS,67579
778,140-909,Sulka-S™ Bolus,Zoetis Inc.,,,,,,,,,,,,,,,,,
779,140-912,Rintal® Tabs Anthelmintic Tablets,Elanco US Inc.,,,,,,,,,,,,,,,,,
780,140-913,Baytril® Antibacterial Injectable Solution,Elanco US Inc.,,,,,,,,,,,,,,,,,
781,140-915,Interceptor™,Elanco US Inc.,,,,,,,,,,,,,,,,,
782,140-916,Denagard™ 12.5%,Elanco US Inc.,,,,,,,,,,,,,,,,,
783,140-918,Flavomycin® / Stenorol®,Huvepharma EOOD,,,,,,,,,,,,,,,,,
784,140-919,BMD® / Stenorol®,Huvepharma EOOD,,,,,,,,,,,,,,,,,
785,140-921,PrednisTab®,"Lloyd, Inc.",,,,,,,,,,,,,,,,,
786,140-926,BMD® / Maxiban®,Elanco US Inc.,,,,,,,,,,,,,,,,,
787,140-927,Chorulon®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
788,140-929,Micotil™ 300,Elanco US Inc.,,,,,,,,,,,,,,,,,
789,140-934,Valbazen®,Zoetis Inc.,,,,,,,,,,,,,,,,,
790,140-937,BMD® / Coban®,Elanco US Inc.,,,,,,,,,,,,,,,,,
791,140-940,Aviax™ Premix for Broiler Chickens,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
792,140-942,Flavomycin® / Maxiban®,Elanco US Inc.,,,,,,,,,,,,,,,,,
793,140-951,Clinacox™ 0.2%,Elanco US Inc.,,,,,,,,,,,,,,,,,
794,140-955,Coban® / Flavomycin®,Elanco US Inc.,,,,,,,,,,,,,,,,,
795,140-971,Heartgard® Plus,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
796,140-973,Ventipulmin® Syrup,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
797,140-974,Ivomec® Premix for Swine,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
798,140-976,"Neomix Ag® 325 Medicated Premix, Neomix® 325 Medicated Premix",Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
799,140-988,Ivomec® Sustained-Release Bolus for Cattle,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
800,140-989,PARASITE-S,Syndel USA,,,,,,,,,,,,,,,,,
801,140-992,"Revalor®-200, Revalor®-H, Revalor®-IH","Intervet, Inc.",,,,,,,,,,,,,,,,,
802,140-994,Tolazine™ Injection,Cronus Pharma Specialities India Private Limited,,,,,,,,,,,,,,,,,
803,140-998,"V-Max®, V-Max® 50",Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
804,140-999,Domitor®,Orion Corp.,,,,,,,,,,,,,,,,,
805,141-003,Derm-Otic Ointment,Zoetis Inc.,,,,,,,,,,,,,,,,,
806,141-004,Robamox®-V,Zoetis Inc.,,,,,,,,,,,,,,,,,
807,141-005,Robamox®-V Tablets,Zoetis Inc.,,,,,,,,,,,,,,,,,
808,141-007,"Drontal™ Plus, Drontal™ Plus Taste Tabs™, Quad Dewormer",Elanco US Inc.,,,,,,,,,,,,,,,,,
809,141-008,Drontal™ Tablets,Elanco US Inc.,,,,,,,,,,,,,,,,,
810,141-011,Denagard® plus CTC,Elanco US Inc.,,,,,,,,,,,,,,,,,
811,141-014,Super-Ov®,"Therio, Inc.",,,,,,,,,,,,,,,,,
812,141-025,Cattlyst®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
813,141-026,Program™ Suspension,Elanco US Inc.,,,,,,,,,,,,,,,,,
814,141-029,Percorten™-V,Elanco US Inc.,,,,,,,,,,,,,,,,,
815,141-033,Antisedan®,Orion Corp.,,,,,,,,,,,,,,,,,
816,141-034,GAINPRO® 10,Huvepharma EOOD,,,,,,,,,,,,,,,,,
817,141-035,Program® Flavor Tabs®,Elanco US Inc.,,,,,,,,,,,,,,,,,
818,141-036,Pirsue® Sterile Solution,Zoetis Inc.,,,,,,,,,,,,,,,,,
819,141-038,Adequan® Canine,"American Regent, Inc.",,,,,,,,,,,,,,,,,
820,141-042,Immiticide Sterile Powder,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
821,141-043,"SYNOVEX PLUS®, SYNOVEX Choice®, SYNOVEX® PRIMER™",Zoetis Inc.,,,,,,,,,,,,,,,,,
822,141-044,Ovuplant™,"Virbac AH, Inc.",,,,,,,,,,,,,,,,,
823,141-047,Torbugesic-SA®,Zoetis Inc.,,,,,,,,,,,,,,,,,
824,141-051,ProHeart™,Zoetis Inc.,,,,,,,,,,,,,,,,,
825,141-052,Optimmune®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
826,141-053,Rimadyl® Caplets,Zoetis Inc.,,,,,,,,,,,,,,,,,
827,141-059,BMD® and ChlorMax®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
828,141-060,Deccox® - M Medicated Powder for Whole Milk,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
829,141-061,Dectomax® Injectable Solution for Cattle and Swine,Zoetis Inc.,,,,,,,,,,,,,,,,,
830,141-062,Program® Cat Flavor Tabs™,Elanco US Inc.,,,,,,,,,,,,,,,,,
831,141-063,"Nuflor® , Nuflor®-S","Intervet, Inc.",,,,,,,,,,,,,,,,,
832,141-064,Pulmotil™ 90,Elanco US Inc.,,,,,,,,,,,,,,,,,
833,141-065,Aviax™ / BMD®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
834,141-067,Oxyglobin®,"OPK Biotech, LLC",,,,,,,,,,,,,,,,,
835,141-068,Baytril® 100 Injectable Solution,Elanco US Inc.,,,,,,,,,,,,,,,,,
836,141-069,First Guard® Sterile Powder,Zoetis Inc.,,,,,,,,,,,,,,,,,
837,141-070,Rapanofal®,iVaoes Animal Health,,,,,,,,,,,,,,,,,
838,141-071,Imizol®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
839,141-074,Trexonil®,"Wildlife Laboratories, Inc.",,,,,,,,,,,,,,,,,
840,141-077,Adspec® Sterile Solution,Zoetis Inc.,,,,,,,,,,,,,,,,,
841,141-078,Heartgard® for Cats,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
842,141-079,Eprinex®,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
843,141-080,Anipryl®,Zoetis Inc.,,,,,,,,,,,,,,,,,
844,141-081,Orbax® Tablets,"Intervet, Inc.",,,,,,,,,,,,,,,,,
845,141-082,Doxirobe™ Gel,Zoetis Inc.,,,,,,,,,,,,,,,,,
846,141-083,Avatec® / Baciferm®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
847,141-084,Sentinel® Flavor Tabs®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
848,141-085,BMD® / Zoamix®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
849,141-087,Quest® Gel,Zoetis Inc.,,,,,,,,,,,,,,,,,
850,141-095,Dectomax® Pour-on Solution for Cattle,Zoetis Inc.,,,,,,,,,,,,,,,,,
851,141-097,BMD® / Ivomec® Premix for Swine,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
852,141-098,"PropoFlo™, PropoFlo™ 28",Zoetis Inc.,,,,,,,,,,,,,,,,,
853,141-099,Cydectin™ (moxidectin) Pour-On for Beef and Dairy Cattle,Elanco US Inc.,,,,,,,,,,,,,,,,,
854,141-102,BMD® / Deccox®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
855,141-103,SevoFlo®,Zoetis Inc.,,,,,,,,,,,,,,,,,
856,141-105,Program™ 6 Month Injectable for Cats,Elanco US Inc.,,,,,,,,,,,,,,,,,
857,141-109,Avatec® / Baciferm®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
858,141-111,Rimadyl® Chewable Tablets,Zoetis Inc.,,,,,,,,,,,,,,,,,
859,141-114,Aviax® and Stafac®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
860,141-120,Clomicalm® Tablets,"Virbac AH, Inc.",,,,,,,,,,,,,,,,,
861,141-123,GastroGard®,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
862,141-124,BMD® / Maxiban®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
863,141-129,Avatec® / Flavomycin®,Huvepharma EOOD,,,,,,,,,,,,,,,,,
864,141-130,BMD® and Zoamix®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
865,141-136,Bio-Cox® / BMD®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
866,141-137,Pennitracin MD 50G®,Pharmgate Inc.,,,,,,,,,,,,,,,,,
867,141-140,BMD® / Coban®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
868,141-143,Noromycin® 300 LA,"Norbrook Laboratories, Ltd.",,,,,,,,,,,,,,,,,
869,141-144,BMD® / Safe-Guard®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
870,141-146,Nicarb® / Baciferm®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
871,141-147,Chlormax® and Deccox®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
872,141-148,Deccox® / Rumensin®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
873,141-149,Deccox® and Rumensin™ and Tylan™,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
874,141-151,Zeniquin®,Zoetis Inc.,,,,,,,,,,,,,,,,,
875,141-152,Revolution®,Zoetis Inc.,,,,,,,,,,,,,,,,,
876,141-153,Clinacox™ and BMD®,Elanco US Inc.,,,,,,,,,,,,,,,,,
877,141-154,BMD® / Robenz®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
878,141-156,Amprol® / BMD®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
879,141-158,Clinacox™ and Flavomycin®,Elanco US Inc.,,,,,,,,,,,,,,,,,
880,141-163,Milbemite™ Otic Solution,Elanco US Inc.,,,,,,,,,,,,,,,,,
881,141-171,Purina Sugar Mag Block 1440 BVT Medicated Mineral Block,Purina Animal Nutrition LLC,,,,,,,,,,,,,,,,,
882,141-172,Paylean™ and Tylan™,Elanco US Inc.,,,,,,,,,,,,,,,,,
883,141-174,Acarexx®,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
884,141-175,CAPSTAR®,Sergeant’s Pet Care Products LLC,,,,,,,,,,,,,,,,,
885,141-176,Baytril® Otic,Elanco US Inc.,,,,,,,,,,,,,,,,,
886,141-177,Mometamax™ Otic Suspension,"Intervet, Inc.",,,,,,,,,,,,,,,,,
887,141-179,Avatec® / BMD®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
888,141-181,Avatec® / Albac®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
889,141-185,Aureomycin® / Deccox®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
890,141-186,Surpass® Topical Anti-Inflammatory Cream,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
891,141-187,Crystalyx® Iono-Lyx®,Ridley USA Inc.,,,,,,,,,,,,,,,,,
892,141-188,Marquis® Antiprotozoal Oral Paste,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
893,141-189,ProHeart® 6,Zoetis Inc.,,,,,,,,,,,,,,,,,
894,141-192,Ralgro® L. A.,"Intervet, Inc.",,,,,,,,,,,,,,,,,
895,141-193,Zubrin™ Rapidly-Disintegrating Tablets,"Intervet, Inc.",,,,,,,,,,,,,,,,,
896,141-194,Clinacox™ and BMD®,Elanco US Inc.,,,,,,,,,,,,,,,,,
897,141-195,Clinacox™ and Flavomycin®,Elanco US Inc.,,,,,,,,,,,,,,,,,
898,141-199,Rimadyl® Sterile Injectable Solution,Zoetis Inc.,,,,,,,,,,,,,,,,,
899,141-200,EAZI-BREED™ CIDR® Cattle Insert,Zoetis Inc.,,,,,,,,,,,,,,,,,
900,141-201,Aureomycin® and Cattlyst®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
901,141-203,Deramaxx® Chewable Tablets,Elanco US Inc.,,,,,,,,,,,,,,,,,
902,141-204,Sentinel® Flavor Tabs® and Capstar® Flea Management System™,"Intervet, Inc.",,,,,,,,,,,,,,,,,
903,141-205,Program® Flavor Tabs® and Capstar® Flea Management System™,Elanco US Inc.,,,,,,,,,,,,,,,,,
904,141-206,Nuflor® Concentrate Solution,"Intervet, Inc.",,,,,,,,,,,,,,,,,
905,141-207,Advocin™ Sterile Injectable Solution,Zoetis Inc.,,,,,,,,,,,,,,,,,
906,141-208,Advantage® DUO,Elanco US Inc.,,,,,,,,,,,,,,,,,
907,141-209,EXCEDE®,Zoetis Inc.,,,,,,,,,,,,,,,,,
908,141-210,Genesis® Topical Spray,"Virbac AH, Inc.",,,,,,,,,,,,,,,,,
909,141-211,Mecadox® and Terramycin®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
910,141-213,Metacam® Oral Suspension,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
911,141-214,ZIMECTERIN® Gold Paste,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
912,141-215,Equimax®,"Virbac AH, Inc.",,,,,,,,,,,,,,,,,
913,141-216,Quest® Plus Gel,Zoetis Inc.,,,,,,,,,,,,,,,,,
914,141-217,Zeuterin™,"Ark Sciences, Inc.",,,,,,,,,,,,,,,,,
915,141-218,Atopica™,Elanco US Inc.,,,,,,,,,,,,,,,,,
916,141-219,Metacam® 5 mg/mL Solution for Injection,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
917,141-220,Cydectin® ,Elanco US Inc.,,,,,,,,,,,,,,,,,
918,141-221,Optaflexx® 45,Elanco US Inc.,,,,,,,,,,,,,,,,,
919,141-222,Matrix®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
920,141-224,Optaflexx™ and Rumensin™ and Tylan™,Elanco US Inc.,,,,,,,,,,,,,,,,,
921,141-225,Optaflexx™ plus Rumensin®,Elanco US Inc.,,,,,,,,,,,,,,,,,
922,141-227,UlcerGard®,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
923,141-228,Buscopan® Injectable Solution,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
924,141-229,Sedivet®,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
925,141-230,Previcox® Chewable Tablets,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
926,141-232,Simplicef®,Zoetis Inc.,,,,,,,,,,,,,,,,,
927,141-233,Optaflexx™ and Rumensin™ and Tylan™and MGA®,Elanco US Inc.,,,,,,,,,,,,,,,,,
928,141-234,Optaflexx™ / Rumensin® / MGA®,Elanco US Inc.,,,,,,,,,,,,,,,,,
929,141-235,EXCEDE® FOR SWINE,Zoetis Inc.,,,,,,,,,,,,,,,,,
930,141-236,Vetsulin®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
931,141-238,Spectramast® LC Sterile Suspension,Zoetis Inc.,,,,,,,,,,,,,,,,,
932,141-239,Spectramast™ DC Sterile Suspension,Zoetis Inc.,,,,,,,,,,,,,,,,,
933,141-240,ReBalance®,"Pegasus Laboratories, Inc.",,,,,,,,,,,,,,,,,
934,141-241,Zimecterin-EZ™,"Farnam Companies, Inc.",,,,,,,,,,,,,,,,,
935,141-244,Draxxin®,Zoetis Inc.,,,,,,,,,,,,,,,,,
936,141-245,Tributame™ Euthanasia Solution,Cronus Pharma Specialities India Private Limited,,,,,,,,,,,,,,,,,
937,141-246,Aquaflor® Type A Medicated Article,"Intervet, Inc.",,,,,,,,,,,,,,,,,
938,141-247,Cydectin® Oral Drench for Sheep,Elanco US Inc.,,,,,,,,,,,,,,,,,
939,141-250,Aureomycin®  and Bovatec®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
940,141-251,Advantage Multi™ for Dogs,Elanco US Inc.,,,,,,,,,,,,,,,,,
941,141-253,Equioxx® Oral Paste,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
942,141-254,advantage multi™ for cats,Elanco US Inc.,,,,,,,,,,,,,,,,,
943,141-255,35% PEROX-AID®,Syndel USA,,,,,,,,,,,,,,,,,
944,141-257,Iverhart Max®,"Virbac AH, Inc.",,,,,,,,,,,,,,,,,
945,141-258,Zilmax®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
946,141-260,Slentrol®,Zoetis Inc.,,,,,,,,,,,,,,,,,
947,141-261,"Virbantel®, Worm X Plus®","Virbac AH, Inc.",,,,,,,,,,,,,,,,,
948,141-262,Cerenia® Tablets,Zoetis Inc.,,,,,,,,,,,,,,,,,
949,141-263,Cerenia® Injectable Solution,Zoetis Inc.,,,,,,,,,,,,,,,,,
950,141-264,Nuflor®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
951,141-265,NuflorGOLD™,"Intervet, Inc.",,,,,,,,,,,,,,,,,
952,141-266,Posatex® Otic Suspension,"Intervet, Inc.",,,,,,,,,,,,,,,,,
953,141-267,Dexdomitor®,Orion Corp.,,,,,,,,,,,,,,,,,
954,141-268,Protazil®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
955,141-269,"Revalor®-XH, Revalor®-XS","Intervet, Inc.",,,,,,,,,,,,,,,,,
956,141-272,Reconcile®,"Pegasus Laboratories, Inc.",,,,,,,,,,,,,,,,,
957,141-273,Vetmedin®,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
958,141-275,Profender™,Elanco US Inc.,,,,,,,,,,,,,,,,,
959,141-276,Zilmax® and Rumensin™ and Tylan™,"Intervet, Inc.",,,,,,,,,,,,,,,,,
960,141-277,Comfortis®,Elanco US Inc.,,,,,,,,,,,,,,,,,
961,141-278,Zilmax® plus Rumensin®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
962,141-279,Nicarb® 25% plus BMD®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
963,141-280,Zilmax® and Rumensin™ and Tylan™ and MGA®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
964,141-281,Aviax® II,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
965,141-282,Zilmax®/Rumensin®/MGA®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
966,141-284,Zilmax® plus MGA®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
967,141-285,Convenia®,Zoetis Inc.,,,,,,,,,,,,,,,,,
968,141-286,Panacur® Plus,"Intervet, Inc.",,,,,,,,,,,,,,,,,
969,141-288,EXCENEL® RTU EZ,Zoetis Inc.,,,,,,,,,,,,,,,,,
970,141-289,Aviax II® plus Stafac®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
971,141-290,Topmax™ 9,Elanco US Inc.,,,,,,,,,,,,,,,,,
972,141-291,VETORYL® CAPSULES,"Dechra, Ltd.",,,,,,,,,,,,,,,,,
973,141-292,Felimazole®,"Dechra, Ltd.",,,,,,,,,,,,,,,,,
974,141-295,Palladia®,Zoetis Inc.,,,,,,,,,,,,,,,,,
975,141-297,ProZinc®,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
976,141-298,Surolan®,Elanco US Inc.,,,,,,,,,,,,,,,,,
977,141-299,Resflor GOLD®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
978,141-301,Topmax™ plus Coban®,Elanco US Inc.,,,,,,,,,,,,,,,,,
979,141-302,EAZI-BREED™ CIDR® Sheep Insert,Zoetis Inc.,,,,,,,,,,,,,,,,,
980,141-303,PropoClear™,Zoetis Inc.,,,,,,,,,,,,,,,,,
981,141-305,Orbax®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
982,141-306,Dormosedan Gel®,Orion Corp.,,,,,,,,,,,,,,,,,
983,141-312,Hexasol® Injection,"Norbrook Laboratories, Ltd.",,,,,,,,,,,,,,,,,
984,141-313,Equioxx® Injection,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
985,141-314,Equidone® Gel,"Dechra, Ltd.",,,,,,,,,,,,,,,,,
986,141-319,SucroMate® Equine,"Dechra, Ltd.",,,,,,,,,,,,,,,,,
987,141-320,onsior® Tablets for Cats,Elanco US Inc.,,,,,,,,,,,,,,,,,
988,141-321,Trifexis™,Elanco US Inc.,,,,,,,,,,,,,,,,,
989,141-322,Improvest®,Zoetis Inc.,,,,,,,,,,,,,,,,,
990,141-324,PROIN® Chewable Tablets,"Pegasus Laboratories, Inc.",,,,,,,,,,,,,,,,,
991,141-325,Incurin®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
992,141-326,Rilexine®,"Virbac AH, Inc.",,,,,,,,,,,,,,,,,
993,141-327,Longrange®,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
994,141-328,Zactran®,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
995,141-329,Atopica™ for Cats,Elanco US Inc.,,,,,,,,,,,,,,,,,
996,141-330,Easotic®,"Virbac AH, Inc.",,,,,,,,,,,,,,,,,
997,141-331,Prascend®,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
998,141-333,Sentinel® Spectrum®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
999,141-334,Zuprevo™,"Intervet, Inc.",,,,,,,,,,,,,,,,,
1000,141-336,AIVLOSIN®,ECO LLC,,,,,,,,,,,,,,,,,
1001,141-338,INTERCEPTOR™ PLUS,Elanco US Inc.,,,,,,,,,,,,,,,,,
1002,141-339,OvuGel™,"Aurora Pharmaceutical, Inc.",,,,,,,,,,,,,,,,,
1003,141-340,Skycis™ 100,Elanco US Inc.,,,,,,,,,,,,,,,,,
1004,141-342,Alfaxan® Multidose,Zoetis Inc.,,,,,,,,,,,,,,,,,
1005,141-343,Pulmotil® 90 and Rumensin® 90,Elanco US Inc.,,,,,,,,,,,,,,,,,
1006,141-344,Veraflox™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1007,141-345,apoquel®,Zoetis Inc.,,,,,,,,,,,,,,,,,
1008,141-346,OroCAM® Transmucosal Oral Spray,Zoetis Inc.,,,,,,,,,,,,,,,,,
1009,141-348,"SYNOVEX® ONE FEEDLOT, SYNOVEX® ONE Grower",Zoetis Inc.,,,,,,,,,,,,,,,,,
1010,141-349,Draxxin® 25 Injectable Solution,Zoetis Inc.,,,,,,,,,,,,,,,,,
1011,141-360,EQUISUL-SDT®,"Aurora Pharmaceutical, Inc.",,,,,,,,,,,,,,,,,
1012,141-361,Pulmotil™ AC,Elanco US Inc.,,,,,,,,,,,,,,,,,
1013,141-392,Imrestor™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1014,141-406,NexGard®,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
1015,141-417,CORAXIS™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1016,141-418,BetaVet®,"American Regent, Inc.",,,,,,,,,,,,,,,,,
1017,141-419,Coyden® and Flavomycin®,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1018,141-420,Tildren®,Bimeda Animal Health Limited,,,,,,,,,,,,,,,,,
1019,141-423,HALAMID® AQUA,Axcentive SARL,,,,,,,,,,,,,,,,,
1020,141-426,Bravecto®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
1021,141-427,Osphos®,"Dechra, Ltd.",,,,,,,,,,,,,,,,,
1022,141-429,Stafac® and Maxiban™,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1023,141-430,Stafac® and Coban™,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1024,141-431,FOLLTROPIN®,"Vetoquinol USA, Inc.",,,,,,,,,,,,,,,,,
1025,141-434,Simbadol®,Zoetis Inc.,,,,,,,,,,,,,,,,,
1026,141-435,advantus™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1027,141-437,Osurnia™,"Dechra, Ltd.",,,,,,,,,,,,,,,,,
1028,141-438,Kavault™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1029,141-439,Inteprity™,Elanco US Inc.,,,,,,,,,,,,,,,,,
