 Name , Year ,SMILES,MW,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,TPSA,XLOGP3
 CAPSAICIN ,2009,CC(C)/C=C/CCCCC(NCc(cc1)cc(OC)c1O)=O,305.41,0.5,10,3,2,58.56,3.58
 DRONEDARONE ,2009,CCCCc1c(C(c(cc2)ccc2OCCCN(CCCC)CCCC)=O)c(cc(cc2)NS(C)(=O)=O)c2o1,556.76,0.52,18,6,1,97.23,7.23
 EVEROLIMUS ,2009,C[C@@H](C[C@@H](CC[C@@H]1OCCO)C[C@@H]1OC)[C@@H](CC([C@H](C)/C=C(\C)/[C@@H]([C@@H](C([C@@H](C)C[C@@H](C)/C=C/C=C/C=C(\C)/[C@H](C[C@@H](CC[C@@H]1C)O[C@@]1(C(C(N1[C@@H]2CCCC1)=O)=O)O)OC)=O)OC)O)=O)OC2=O,958.22,0.75,9,14,3,204.66,5.87
 FEBUXOSTAT ,2009,CC(C)COc(ccc(-c1nc(C)c(C([O-])=O)s1)c1)c1C#N,315.37,0.31,5,5,0,114.28,3.9
 ILOPERIDONE ,2009,CC(c(cc1)cc(OC)c1OCCCN(CC1)CCC1c1noc2c1ccc(F)c2)=O,426.48,0.42,8,7,0,64.8,4.1
 LUMEFANTRINE ,2009,CCCCN(CCCC)CC(c1c(-c(ccc(Cl)c2)c2/C2=C/c(cc3)ccc3Cl)c2cc(Cl)c1)O,528.94,0.33,10,2,1,23.47,8.72
 MILNACIPRAN ,2009,CCN(CC)C([C@]1([C@@H](CN)C1)c1ccccc1)=O,246.35,0.53,6,2,1,46.33,1.36
 PALIPERIDONE PALMITATE ,2009,CCCCCCCCCCCCCCCC(OC(CCCN12)C2=NC(C)=C(CCN(CC2)CCC2c2noc3c2ccc(F)c3)C1=O)=O,664.89,0.69,20,8,0,90.46,10.07
 PAZOPANIB ,2009,Cc1c(ccc(N(C)c2ccnc(Nc3cc(S(N)(=O)=O)c(C)cc3)n2)c2)c2nn1C,437.52,0.19,5,6,2,127.41,3.07
 PITAVASTATIN ,2009,[O-]C(C[C@@H](C[C@@H](/C=C/c1c(-c(cc2)ccc2F)c2ccccc2nc1C1CC1)O)O)=O,420.45,0.28,8,6,2,93.48,3.52
 PRALATREXATE ,2009,C#CC[C@@H](Cc1nc2c(N)nc(N)nc2nc1)c(cc1)ccc1C(N[C@@H](CCC([O-])=O)C([O-])=O)=O,475.46,0.26,11,9,3,212.96,-0.88
 PRASUGREL ,2009,CC(Oc1cc(CN(CC2)C(C(C3CC3)=O)c(cccc3)c3F)c2s1)=O,373.44,0.4,6,5,0,74.85,3.6
 ROMIDEPSIN ,2009,CC(C)[C@H](C(N[C@H](CSSCC/C=C/[C@H](C1)OC([C@H](C(C)C)NC(/C(/N2)=C/C)=O)=O)C2=O)=O)NC1=O,540.7,0.62,2,6,4,193.3,2.24
 SAXAGLIPTIN ,2009,N[C@@H]([C@@](C[C@@H](C1)C2)(C[C@H]1C1)C[C@@]12O)C(N([C@@H](C1)[C@@H]1C1)[C@@H]1C#N)=O,315.41,0.89,3,4,2,90.35,0.73
 TELAVANCIN ,2009,CCCCCCCCCCNCCN[C@@](C)(C[C@H](O[C@H]([C@H]1O)[C@H](Oc(c(Oc(ccc([C@H]([C@@H](C(N[C@H](C([O-])=O)c2cc(O)c(CNCP([O-])([O-])=O)c(O)c2-c(cc([C@H]2NC([C@@H]3NC([C@H](CC(N)=O)NC([C@@H]([C@@H](c(cc4)c5)O)NC([C@@H](CC(C)C)NC)=O)=O)=O)=O)cc6)c6O)=O)NC2=O)O)c2)c2Cl)cc3c2)c2Oc4c5Cl)O[C@H](CO)[C@H]1O)O[C@H]1C)[C@@H]1O,1752.61,0.53,31,31,20,616.39,-2.12
 TOLVAPTAN ,2009,Cc(cccc1)c1C(Nc(cc1)cc(C)c1C(N(CCCC1O)c(cc2)c1cc2Cl)=O)=O,448.94,0.23,5,3,2,69.64,4.77
 VIGABATRIN ,2009,C=CC(CCC([O-])=O)N,128.15,0.5,4,3,1,66.15,-2.16
 ABIRATERONE ,2010,C[C@]1(CC2)C(c3cnccc3)=CC[C@@H]1[C@@H]1[C@@H]2[C@](C)(CC[C@H](C2)O)C2=CC1,349.51,0.62,1,2,1,33.12,4.63
 ALCAFTADINE ,2010,CN(CC1)CCC1=C(c1ncc(C=O)n1CC1)c2c1cccc2,307.39,0.37,1,3,0,38.13,1.66
 CABAZITAXEL ,2010,CC(C)(C)OC(N[C@@H]([C@@H](C(O[C@H](C1)C(C)=C([C@@H](C([C@@](C)([C@@H](C[C@@H]2OC3)OC)[C@@H]([C@H]4OC(c5ccccc5)=O)[C@]23OC(C)=O)=O)OC)C(C)(C)[C@@]14O)=O)O)c1ccccc1)=O,835.93,0.58,16,14,3,202.45,3.88
 CARGLUMIC ACID ,2010,NC(NC(CCC([O-])=O)C([O-])=O)=O,188.14,0.5,6,5,2,135.38,-2.39
 CEFTAROLINE ,2010,CCO/N=C(\C(N[C@H]([C@@H]1SCC(Sc2nc(-c3cc[n+](C)cc3)cs2)=C(C([O-])=O)N11)C1=O)=O)/c1nsc(NP([O-])([O-])=O)n1,682.67,0.27,12,12,2,345.79,1.65
 DABIGATRAN ,2010,Cn1c(ccc(C(N(CCC([O-])=O)c2ncccc2)=O)c2)c2nc1CNc(cc1)ccc1C(N)=[NH2+],471.51,0.16,10,5,3,154.79,1.7
 DABIGATRAN ETEXILATE ,2010,CCCCCCOC(NC(c(cc1)ccc1NCc1nc(cc(cc2)C(N(CCC(OCC)=O)c3ncccc3)=O)c2n1C)=N)=O,627.73,0.35,20,8,3,151.53,5.31
 DALFAMPRIDINE ,2010,Nc1ccncc1,94.11,0,0,1,1,38.91,0.32
 DIENOGEST ,2010,C[C@](CC1)([C@@H](CC2)[C@H](CC3)C1=C(CC1)C3=CC1=O)[C@@]2(CC#N)O,311.42,0.7,1,3,1,61.09,1.84
 ERIBULIN ,2010,C[C@@H](C[C@@H](CC[C@H](C(C1)=C)O[C@@H]1CC[C@@](C[C@@H]1O[C@H]23)(O[C@H]1[C@H]3O[C@@H]1CC3)O[C@@H]2[C@@H]1O[C@@H]3CC(C[C@@H]12)=O)O[C@H]3C[C@H]2O[C@@H](C[C@H](CN)O)[C@H]1OC)C3=C,729.9,0.88,4,12,2,146.39,1.11
 FINGOLIMOD ,2010,CCCCCCCCc1ccc(CCC(CO)(CO)N)cc1,307.47,0.68,12,3,3,66.48,4.16
 LEVOMEFOLATE ,2010,CN([C@@H](CNc(cc1)ccc1C(N[C@@H](CCC([O-])=O)C([O-])=O)=O)CN1)C2=C1NC(N)=NC2=O,471.42,0.3,11,8,5,225.5,-1.24
 LURASIDONE ,2010,O=C([C@H]1[C@@H]2[C@H]3C[C@@H]1CC3)N(C[C@@H]1[C@@H](CN(CC3)CCN3c3nsc4c3cccc4)CCCC1)C2=O,492.68,0.68,5,4,0,84.99,5.35
 POLIDOCANOL ,2010,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,582.81,1,37,10,1,103.3,3.92
 ULIPRISTAL ACETATE ,2010,C[C@@](C[C@H]1c(cc2)ccc2N(C)C)([C@H](CC2)[C@@H](CC3)C1=C(CC1)C3=CC1=O)[C@@]2(C(C)=O)OC(C)=O,475.62,0.57,5,4,0,63.68,3.47
 ABIRATERONE ACETATE ,2011,C[C@]1(CC2)C(c3cnccc3)=CC[C@@H]1[C@@H]1[C@@H]2[C@](C)(CC[C@H](C2)OC(C)=O)C2=CC1,391.55,0.62,3,3,0,39.19,5.2
 AZILSARTAN KAMEDOXOMIL ,2011,CCOc1nc2cccc(C(OCC(O3)=C(C)OC3=O)=O)c2n1Cc(cc1)ccc1-c(cccc1)c1C(N1)=NOC1=O,568.53,0.17,10,10,1,155.59,4.94
 BOCEPREVIR ,2011,CC(C)(C)[C@@H](C(N(C[C@@H]1C(C)(C)[C@H]11)[C@@H]1C(N[C@H](CC1CCC1)C(C(N)=O)=O)=O)=O)NC(NC(C)(C)C)=O,519.68,0.81,14,5,4,150.7,3.15
 CLOBAZAM ,2011,CN(c(ccc(Cl)c1)c1N(c1ccccc1)C(C1)=O)C1=O,305.5,0,0,2,1,33.12,3.53
 CRIZOTINIB ,2011,CC(c(c(Cl)c(cc1)F)c1Cl)Oc1c(N)ncc(-c2cn(C3CCNCC3)nc2)c1,450.34,0.33,5,5,2,77.99,3.69
 DEFERIPRONE ,2011,CC(N(C)C=CC1=O)=C1O,139.15,0.29,0,2,1,42.23,-0.77
 EZOGABINE ,2011,CCOC(Nc(ccc(NCc(cc1)ccc1F)c1)c1N)=O,303.33,0.19,7,3,3,76.38,2.77
 FIDAXOMICIN ,2011,CC[C@@H]([C@@H](/C(/C)=C/C(/C)=C/C[C@H]([C@H](C)O)OC(/C(/CO[C@H]([C@@H]([C@@H]1O)OC)O[C@@H](C)[C@@H]1OC(c(c(CC)c(c(O)c1Cl)Cl)c1O)=O)=C/C=C/C1)=O)O[C@H]([C@@H]([C@@H]2O)O)OC(C)(C)[C@@H]2OC(C(C)C)=O)/C=C(\C)/[C@@H]1O,1058.04,0.63,15,18,7,266.66,-0.5
 GABAPENTIN ENACARBIL ,2011,CC(C)C(OC(C)OC(NCC1(CC([O-])=O)CCCCC1)=O)=O,328.38,0.81,10,6,1,104.76,3.13
 ICATIBANT ,2011,N[C@@H](CCCNC(N)=[NH2+])C(N[C@H](CCCNC(N)=[NH2+])C(N(CCC1)[C@H]1C(N(C[C@H](C1)O)[C@H]1C(NCC(N[C@H](Cc1cccs1)C(N[C@H](CO)C(N(Cc1c(C2)cccc1)[C@@H]2C(N([C@H](C1)C(N[C@H](CCCNC(N)=[NH2+])C([O-])=O)=O)[C@H]2[C@@H]1CCCC2)=O)=O)=O)=O)=O)=O)=O)=O,1306.54,0.61,42,14,17,552.51,-5.25
 INDACATEROL ,2011,CCc1cc(CC(C2)NCC(c(cc3)c(C=CC(N4)=O)c4c3O)O)c2cc1CC,392.49,0.38,6,4,4,85.35,3.35
 LINAGLIPTIN ,2011,Cc1nc(CN(C(c(n2CC#CC)c(N3C)nc2N(CCC2)CC2N)=O)C3=O)nc2ccccc12,472.54,0.4,4,6,1,116.86,1.91
 MMAE ,2011,CC[C@H](C)[C@@H]([C@@H](CC(N(CCC1)[C@@H]1[C@@H]([C@@H](C)C(N[C@H](C)[C@H](c1ccccc1)O)=O)OC)=O)OC)N(C)C([C@H](C(C)C)NC([C@H](C(C)C)NC)=O)=O,717.98,0.74,24,8,4,149.54,4.08
 RILPIVIRINE ,2011,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc(cc2)ccc2C#N)n1,366.42,0.09,5,4,2,97.42,4.55
 RIVAROXABAN ,2011,O=C(c(s1)ccc1Cl)NCC(CN1c(cc2)ccc2N(CCOC2)C2=O)OC1=O,435.88,0.32,6,5,1,116.42,2.49
 ROFLUMILAST ,2011,O=C(c(cc1)cc(OCC2CC2)c1OC(F)F)Nc(c(Cl)cnc1)c1Cl,403.21,0.29,8,6,1,60.45,4.58
 RUXOLITINIB ,2011,N#CCC(C1CCCC1)n1ncc(-c2ncnc3c2cc[nH]3)c1,306.37,0.41,4,4,1,83.18,2.12
 TELAPREVIR ,2011,CCC[C@@H](C(C(NC1CC1)=O)=O)NC([C@H]([C@@H](CCC1)[C@@H]1C1)N1C([C@H](C(C)(C)C)NC([C@H](C1CCCCC1)NC(c1nccnc1)=O)=O)=O)=O,679.85,0.72,19,8,4,179.56,4.2
 TICAGRELOR ,2011,CCCSc1nc(N[C@@H](C2)[C@H]2c(cc2)cc(F)c2F)c2nnn([C@@H](C[C@H]([C@@H]3O)OCCO)[C@H]3O)c2n1,522.57,0.57,10,10,4,163.74,2.03
 VANDETANIB ,2011,CN1CCC(COc(cc(c2c3)ncnc2Nc(ccc(Br)c2)c2F)c3OC)CC1,475.35,0.36,6,6,1,59.51,4.93
 VEMURAFENIB ,2011,CCCS(Nc(c(F)c1C(c(c2c3)c[nH]c2ncc3-c(cc2)ccc2Cl)=O)ccc1F)(=O)=O,489.92,0.13,7,6,2,100.3,4.97
 VILAZODONE ,2011,NC(c1cc(cc(cc2)N3CCN(CCCCc4c[nH]c(cc5)c4cc5C#N)CC3)c2o1)=O,441.52,0.31,7,4,2,102.29,3.98
 ACLIDINIUM ,2012,OC(C(OC1[C@H](CC2)CC[N@@+]2(CCCOc2ccccc2)C1)=O)(c1cccs1)c1cccs1,484.65,0.42,10,4,1,112.24,4.74
 APIXABAN ,2012,COc(cc1)ccc1-n1nc(C(N)=O)c(CCN2c(cc3)ccc3N(CCCC3)C3=O)c1C2=O,459.5,0.28,5,5,1,110.76,2.24
 AVANAFIL ,2012,COc(ccc(CNc1nc(N2C(CO)CCC2)ncc1C(NCc1ncccn1)=O)c1)c1Cl,483.95,0.35,10,7,3,125.39,2.58
 AXITINIB ,2012,CNC(c(cccc1)c1Sc(cc1)cc2c1c(/C=C/c1ncccc1)n[nH]2)=O,386.47,0.05,6,3,2,95.97,4.17
 BEDAQUILINE ,2012,CN(C)CC[C@]([C@H](c1ccccc1)c(cc(cc(cc1)Br)c1n1)c1OC)(c1cccc2ccccc12)O,555.5,0.22,8,4,1,45.59,7.21
 BOSUTINIB ,2012,CN1CCN(CCCOc(cc(c2c3)ncc(C#N)c2Nc(c(Cl)c2)cc(OC)c2Cl)c3OC)CC1,530.45,0.38,9,7,1,82.88,5.38
 CABOZANTINIB ,2012,COc(cc1c(Oc(cc2)ccc2NC(C2(CC2)C(Nc(cc2)ccc2F)=O)=O)ccnc1c1)c1OC,501.51,0.18,10,7,2,98.78,5.39
 CARFILZOMIB ,2012,CC(C)C[C@H](C([C@@]1(C)OC1)=O)NC([C@@H](Cc1ccccc1)NC([C@@H](CC(C)C)NC([C@@H](CCc1ccccc1)NC(CN1CCOCC1)=O)=O)=O)=O,719.91,0.57,24,8,4,158.47,4.69
 COBICISTAT ,2012,CC(C)c1nc(CN(C)C(N[C@@H](CCN2CCOCC2)C(N[C@H](CC[C@H](Cc2ccccc2)NC(OCc2cncs2)=O)Cc2ccccc2)=O)=O)cs1,326.82,0.28,1,2,1,30.87,3.34
 ELVITEGRAVIR ,2012,CC(C)C(CO)N(C=C1C([O-])=O)c2cc(OC)c(Cc3cccc(Cl)c3F)cc2C1=O,446.88,0.3,7,6,1,91.59,5.32
 ENZALUTAMIDE ,2012,CC(C)(C(N(C1=S)c(cc2)cc(C(F)(F)F)c2C#N)=O)N1c(cc1)cc(F)c1C(NC)=O,464.44,0.24,5,7,1,108.53,3.61
 FLORBETAPIR ,2012,CNc1ccc(/C=C/c(cc2)cnc2OCCOCCOCCF)cc1,360.42,0.35,12,5,1,52.61,3.46
 ICOSAPENT ETHYL ,2012,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(OCC)=O,330.5,0.5,15,2,0,26.3,
 INGENOL MEBUTATE ,2012,C[C@@H](C[C@@H]1C(C)(C)[C@@H]1[C@@H]1C=C(CO)[C@@H]([C@]2([C@@H](C(C)=C3)OC(/C(/C)=C\C)=O)O)O)[C@@]23C1=O,430.53,0.68,4,6,3,104.06,1.98
 IVACAFTOR ,2012,CC(C)(C)c(cc(C(C)(C)C)c(O)c1)c1NC(C1=CNc(cccc2)c2C1=O)=O,392.49,0.33,5,3,3,82.19,5.59
 LINACLOTIDE ,2012,C[C@H]([C@@H](C(NCC(N[C@@H](CSSC[C@H](C(N[C@H](CSSC[C@@H](C(N[C@@H](CSSC[C@@H]1NC([C@H](C)NC([C@H](CCC2)N2C([C@H](CC(N)=O)N2)=O)=O)=O)C(N[C@@H](CCC([O-])=O)C(N[C@H]3Cc(cc4)ccc4O)=O)=O)=O)N)C2=O)=O)NC3=O)C(N[C@@H](Cc(cc2)ccc2O)C([O-])=O)=O)=O)=O)NC1=O)O,614.47,0.21,9,7,1,145.2,4.67
 LOMITAPIDE ,2012,O=C(C1(CCCCN(CC2)CCC2NC(c(cccc2)c2-c2ccc(C(F)(F)F)cc2)=O)c(cccc2)c2-c2c1cccc2)NCC(F)(F)F,693.72,0.33,14,9,2,61.44,8.62
 LORCASERIN ,2012,CC(CNCC1)c2c1ccc(Cl)c2,195.69,0.45,0,1,1,12.03,2.74
 MIRABEGRON ,2012,Nc1nc(CC(Nc2ccc(CCNCC(c3ccccc3)O)cc2)=O)cs1,396.51,0.24,10,4,4,128.51,2.09
 OMACETAXINE MEPESUCCINATE ,2012,CC(C)(CCC[C@](CC(OC)=O)(C(O[C@H]([C@H]12)C(OC)=C[C@@]2(CCC2)N2CCc2c1cc1OCOc1c2)=O)O)O,556.65,0.55,7,9,6,176.66,1.7
 PASIREOTIDE ,2012,NCCCC[C@@H](C(N[C@@H](Cc(cc1)ccc1OCc1ccccc1)C(N[C@@H](Cc1ccccc1)C(N(C[C@@H](C1)OC(NCCN)=O)[C@@H]1C(N[C@@H](c1ccccc1)C(N[C@@H]1Cc2c[nH]c3c2cccc3)=O)=O)=O)=O)=O)NC1=O,1047.21,0.33,19,11,9,281.2,4.69
 PERAMPANEL ,2012,N#Cc(cccc1)c1C1=CC(c2ncccc2)=CN(c2ccccc2)C1=O,349.38,0,3,3,0,58.68,3.44
 PICOSULFATE ,2012,OS(Oc1ccc(C(c(cc2)ccc2OS(O)(=O)=O)c2ncccc2)cc1)(=O)=O,437.44,0.06,7,9,2,156.85,1.65
 PONATINIB ,2012,Cc(ccc(C(Nc1cc(C(F)(F)F)c(CN2CCN(C)CC2)cc1)=O)c1)c1C#Cc1cnc2n1nccc2,532.56,0.28,6,8,1,65.77,4.11
 REGORAFENIB ,2012,CNC(c1nccc(Oc(cc2)cc(F)c2NC(Nc(cc2)cc(C(F)(F)F)c2Cl)=O)c1)=O,482.82,0.1,9,8,3,92.35,4.17
 TAFLUPROST ,2012,CC(C)OC(CCC/C=C\C[C@H]([C@@H](C[C@@H]1O)O)[C@@H]1/C=C/C(COc1ccccc1)(F)F)=O,452.53,0.56,13,7,2,75.99,4.47
 TERIFLUNOMIDE ,2012,C/C(/O)=C(/C(Nc1ccc(C(F)(F)F)cc1)=O)\C#N,270.21,0.17,4,6,2,73.12,3.27
 TOFACITINIB ,2012,C[C@H](CCN(C1)C(CC#N)=O)[C@H]1N(C)c1ncnc2c1cc[nH]2,312.37,0.5,4,4,1,88.91,1.5
 VISMODEGIB ,2012,CS(c(cc1)cc(Cl)c1C(Nc(cc1)cc(-c2ncccc2)c1Cl)=O)(=O)=O,421.3,0.05,5,4,1,84.51,3.84
 AFATINIB ,2013,CN(C)C/C=C/C(Nc(cc1c(Nc(cc2)cc(Cl)c2F)ncnc1c1)c1OC1COCC1)=O,485.94,0.29,9,7,2,88.61,3.64
 ALOGLIPTIN ,2013,CN(C(C=C(N1Cc(cccc2)c2C#N)N(CCC2)CC2N)=O)C1=O,339.39,0.39,3,4,1,97.05,0.55
 BAZEDOXIFENE ,2013,Cc1c(-c(cc2)ccc2O)n(Cc(cc2)ccc2OCCN2CCCCCC2)c(cc2)c1cc2O,470.6,0.33,7,4,2,57.86,6.12
 CANAGLIFLOZIN ,2013,Cc1c(Cc2ccc(-c(cc3)ccc3F)s2)cc([C@H]([C@H]([C@@H]2O)O)O[C@@H](CO)[C@@H]2O)cc1,444.52,0.33,5,6,4,118.39,3.23
 DABRAFENIB ,2013,CC(C)(C)c1nc(-c2cccc(NS(c(c(F)ccc3)c3F)(=O)=O)c2F)c(-c2ncc(N)nc2)s1,519.56,0.17,6,8,2,147.48,4.36
 DIMETHYL FUMARATE ,2013,COC(/C=C/C(OC)=O)=O,144.13,0.33,4,4,0,52.6,0.22
 DOLUTEGRAVIR ,2013,C[C@H](CCO[C@H]1CN(C=C(C(NCc(ccc(F)c2)c2F)=O)C2=O)C3=C2O)N1C3=O,419.38,0.35,4,7,2,100.87,2.44
 ESLICARBAZEPINE ACETATE ,2013,CC(OC(C1)c(cccc2)c2N(C(N)=O)c2c1cccc2)=O,296.32,0.18,3,3,1,72.63,2.02
 FLUTEMETAMOL ,2013,CNc(ccc(-c1nc(ccc(O)c2)c2s1)c1)c1F,274.31,0.07,2,3,2,73.39,3.77
 GLYCEROL PHENYLBUTYRATE ,2013,O=C(CCCc1ccccc1)OCC(COC(CCCc1ccccc1)=O)OC(CCCc1ccccc1)=O,530.65,0.36,20,6,0,78.9,6.7
 IBRUTINIB ,2013,C=CC(N(CCC1)CC1n(c1ncnc(N)c11)nc1-c(cc1)ccc1Oc1ccccc1)=O,440.5,0.2,6,5,1,99.16,3.57
 LEVOMILNACIPRAN ,2013,CCN(CC)C([C@]1([C@@H](CN)C1)c1ccccc1)=O,353.5,0.43,9,3,0,29.54,4.27
 LULICONAZOLE ,2013,N#C/C(/n1cncc1)=C(/SC1)\SC1c(ccc(Cl)c1)c1Cl,354.28,0.14,2,2,0,92.21,3.97
 MACITENTAN ,2013,CCCNS(Nc1c(-c(cc2)ccc2Br)c(OCCOc(nc2)ncc2Br)ncn1)(=O)=O,588.27,0.26,11,9,2,136.6,3.72
 MAYTANSINE ,2013,C[C@@H](C(O[C@@H](CC(N(C)c1cc(C/C(/C)=C/C=C/[C@H]([C@@](C2)(N3)O)OC)cc(OC)c1Cl)=O)[C@@]1(C)O[C@H]1[C@H](C)[C@H]2OC3=O)=O)N(C)C(CCS)=O,738.29,0.6,9,10,2,195.27,2.21
 NEOSTIGMINE ,2013,CN(C)C(Oc1cc([N+](C)(C)C)ccc1)=O,223.29,0.42,4,3,0,29.54,1.62
 OSPEMIFENE ,2013,OCCOc(cc1)ccc1/C(/c1ccccc1)=C(/CCCl)\c1ccccc1,378.89,0.17,8,2,1,29.46,6.47
 POMALIDOMIDE ,2013,Nc1cccc(C(N2C(CCC(N3)=O)C3=O)=O)c1C2=O,273.24,0.23,1,4,2,109.57,0.2
 RIOCIGUAT ,2013,CN(C(OC)=O)c1c(N)nc(-c2nn(Cc(cccc3)c3F)c3ncccc23)nc1N,422.42,0.15,6,7,2,138.07,1.58
 SIMEPREVIR ,2013,CC(C)c1csc(-c2nc3c(C)c(OC)ccc3c(O[C@@H](C[C@@H]3C(N[C@@](C4)([C@H]4/C=C\CCCCN4C)C(NS(C5CC5)(=O)=O)=O)=O)C[C@@H]3C4=O)c2)n1,749.94,0.55,9,9,2,193.51,4.81
 SOFOSBUVIR ,2013,CC(C)OC([C@@H](C)N[P@](OC[C@@H]([C@@H]([C@]1(C)F)O)O[C@@H]1N(C=CC(N1)=O)C1=O)(Oc1ccccc1)=O)=O,529.45,0.5,11,11,3,167.99,0.99
 TRAMETINIB ,2013,CC(Nc1cccc(N(C(C(C(N2C3CC3)=O)=C(Nc(ccc(I)c3)c3F)N3C)=C(C)C3=O)C2=O)c1)=O,615.39,0.23,6,5,2,107.13,3.43
 UMECLIDINIUM ,2013,OC(C1(CC2)CC[N+]2(CCOCc2ccccc2)CC1)(c1ccccc1)c1ccccc1,428.59,0.38,8,2,1,29.46,4.69
 VILANTEROL ,2013,OCc(cc(C(CNCCCCCCOCCOCc(c(Cl)ccc1)c1Cl)O)cc1)c1O,486.43,0.5,16,6,4,91.18,3.83
 VORTIOXETINE ,2013,Cc(cc1)cc(C)c1Sc(cccc1)c1N1CCNCC1,298.45,0.33,3,1,1,40.57,4.19
 APREMILAST ,2014,CCOc(cc(C(CS(C)(=O)=O)N(C(c1c2c(NC(C)=O)ccc1)=O)C2=O)cc1)c1OC,460.5,0.32,9,7,1,127.46,1.84
 BELINOSTAT ,2014,ONC(/C=C/c1cccc(S(Nc2ccccc2)(=O)=O)c1)=O,318.35,0,6,4,3,103.88,1.66
 CEFTOLOZANE ,2014,CC(C)(C([O-])=O)O/N=C(\C(N[C@H]([C@@H]1SCC(C[n+]2cc(NC(NCCN)=O)c(N)n2C)=C(C([O-])=O)N11)C1=O)=O)/c1nsc(N)n1,665.68,0.43,15,12,6,358.58,-3.84
 CERITINIB ,2014,CC(C)Oc(cc(C1CCNCC1)c(C)c1)c1Nc(nc1)nc(Nc(cccc2)c2S(C(C)C)(=O)=O)c1Cl,558.14,0.43,9,6,3,113.62,6.42
 DALBAVANCIN ,2014,CC(C)CCCCCCCCC(N[C@@H]([C@@H]([C@H]1O)O)[C@@H](Oc(c(Oc2ccc(C[C@@H](C(N[C@H](c3cc(Oc(cc([C@@H]4NC)cc5)c5O)cc(O)c3Cl)C(N[C@@H]3C(N[C@@H](c(cc5)cc(-c(c([C@H](C(NCCCN(C)C)=O)NC([C@@H]([C@H](c(cc6)c7)O)N8)=O)cc(O)c9)c9O[C@@H]([C@@H]([C@@H]9O)O)O[C@@H](CO)[C@@H]9O)c5O)C8=O)=O)=O)=O)NC4=O)cc2)cc3c2)c2Oc6c7Cl)O[C@H]1C([O-])=O)=O,1815.68,0.42,24,30,20,575.34,3.84
 DAPAGLIFLOZIN ,2014,CCOc1ccc(Cc(cc([C@H]([C@H]([C@@H]2O)O)O[C@@H](CO)[C@@H]2O)cc2)c2Cl)cc1,408.87,0.43,6,6,4,99.38,2.35
 DASABUVIR ,2014,CC(C)(C)c1cc(N(C=CC(N2)=O)C2=O)cc(-c2ccc(cc(cc3)NS(C)(=O)=O)c3c2)c1OC,493.57,0.23,6,5,2,118.64,4.25
 DROXIDOPA ,2014,N[C@@H]([C@@H](c(cc1)cc(O)c1O)O)C([O-])=O,212.18,0.22,3,6,4,126.84,-3.23
 EFINACONAZOLE ,2014,C[C@H]([C@@](Cn1ncnc1)(c(ccc(F)c1)c1F)O)N(CC1)CCC1=C,348.39,0.44,5,6,1,54.18,2.04
 ELIGLUSTAT ,2014,CCCCCCCC(N[C@H](CN1CCCC1)[C@@H](c(cc1)cc2c1OCCO2)O)=O,404.54,0.7,12,5,2,71.03,3.69
 EMPAGLIFLOZIN ,2014,OC[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O[C@@H]1c(cc1)cc(Cc(cc2)ccc2O[C@H]2COCC2)c1Cl,450.91,0.48,6,7,4,108.61,2.03
 FINAFLOXACIN ,2014,N#Cc(c(N1C[C@@H]2OCCN[C@H]2C1)c(cc12)F)c2N(C2CC2)C=C(C([O-])=O)C1=O,397.38,0.45,3,7,1,110.42,-0.7
 FLORBETABEN ,2014,CNc1ccc(/C=C/c(cc2)ccc2OCCOCCOCCF)cc1,359.43,0.33,12,4,1,39.72,4.2
 IDELALISIB ,2014,CCC(C(N1c2ccccc2)=Nc2cccc(F)c2C1=O)Nc1ncnc2c1[nH]cn2,415.42,0.14,5,6,2,101.38,3.69
 LEDIPASVIR ,2014,CC(C)[C@@H](C(N(CC1(CC1)C1)[C@@H]1c1ncc(-c(cc2)cc(C3(F)F)c2-c(cc2)c3cc2-c(cc2)cc3c2nc([C@H]([C@@H]2C[C@H]4CC2)N4C([C@H](C(C)C)NC(OC)=O)=O)[nH]3)[nH]1)=O)NC(OC)=O,889,0.47,16,10,4,174.64,7.36
 MILTEFOSINE ,2014,CCCCCCCCCCCCCCCCOP([O-])(OCC[N+](C)(C)C)=O,407.57,1,20,4,0,68.4,6.79
 NALOXEGOL ,2014,COCCOCCOCCOCCOCCOCCOCCO[C@H](CC[C@]([C@H](C1)N(CC=C)CC2)([C@]22c3c1cc1)O)[C@H]2Oc3c1O,651.78,0.76,24,12,2,126.77,0.93
 NETUPITANT ,2014,CC(C)(C(N(C)c(cnc(N1CCN(C)CC1)c1)c1-c1c(C)cccc1)=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,578.59,0.4,8,9,0,39.68,6.76
 NINTEDANIB ,2014,CN(C(CN1CCN(C)CC1)=O)c(cc1)ccc1N/C(/c1ccccc1)=C(/c(ccc(C(OC)=O)c1)c1N1)\C1=O,539.62,0.26,9,6,2,94.22,3.32
